account_id,account_number,customer_id,institution_id,branch_id,product_id,open_date,close_date,account_status,currency,credit_limit,original_principal,is_joint_account
25,ACCT-00000025,11,5,195,5,2022-12-03,,Open,CAD,,,False
26,ACCT-00000026,11,4,146,2,2021-03-01,,Frozen,CAD,,,False
27,ACCT-00000027,12,4,160,2,2022-07-04,,Open,CAD,,,False
28,ACCT-00000028,12,2,83,3,2025-06-16,,Open,CAD,,,False
29,ACCT-00000029,13,4,136,8,2025-12-07,,Open,CAD,1000,,False
30,ACCT-00000030,13,4,165,3,2025-12-07,,Open,CAD,,,False
31,ACCT-00000031,14,2,63,11,2023-03-02,,Open,CAD,,15000,False
32,ACCT-00000032,14,2,87,1,2022-11-02,,Open,CAD,,,False
33,ACCT-00000033,14,2,61,12,2024-03-12,,Open,CAD,,550000,False
34,ACCT-00000034,15,5,200,2,2021-10-31,2022-02-23,Closed,CAD,,,False
35,ACCT-00000035,16,1,19,2,2024-12-24,,Open,CAD,,,False
36,ACCT-00000036,16,3,93,1,2020-12-18,,Open,CAD,,,False
37,ACCT-00000037,16,2,90,3,2020-12-18,,Dormant,CAD,,,False
38,ACCT-00000038,17,4,154,3,2024-05-02,,Open,CAD,,,False
39,ACCT-00000039,17,5,195,1,2024-05-02,,Dormant,CAD,,,False
40,ACCT-00000040,18,3,117,2,2023-09-23,,Open,CAD,,,False
41,ACCT-00000041,18,5,178,10,2023-07-19,,Open,CAD,,15000,False
42,ACCT-00000042,19,4,140,1,2025-03-26,,Open,CAD,,,False
43,ACCT-00000043,19,2,81,13,2025-03-26,,Open,CAD,,35000,False
44,ACCT-00000044,20,3,129,3,2022-05-11,,Open,CAD,,,True
45,ACCT-00000045,21,3,111,1,2023-10-31,,Open,CAD,,,False
46,ACCT-00000046,22,1,6,12,2025-04-09,,Open,CAD,,35000,False
47,ACCT-00000047,22,2,61,1,2025-04-09,,Open,CAD,,,False
48,ACCT-00000048,23,2,62,2,2022-09-21,,Open,CAD,,,False
49,ACCT-00000049,23,1,8,7,2023-09-29,,Open,CAD,7500,,False
50,ACCT-00000050,24,5,194,2,2020-08-30,,Open,CAD,,,False
51,ACCT-00000051,25,5,176,8,2023-12-29,,Open,CAD,20000,,False
52,ACCT-00000052,25,4,152,14,2024-03-28,,Open,CAD,,,False
53,ACCT-00000053,25,4,143,1,2025-11-19,,Open,CAD,,,False
54,ACCT-00000054,26,6,214,1,2022-08-31,2024-01-14,Closed,CAD,,,False
55,ACCT-00000055,26,3,106,3,2021-01-19,,Open,CAD,,,False
56,ACCT-00000056,26,5,192,8,2025-08-31,,Open,CAD,5000,,True
57,ACCT-00000057,27,1,21,3,2025-02-20,,Open,CAD,,,False
58,ACCT-00000058,28,6,210,7,2024-10-15,,Open,CAD,5000,,True
59,ACCT-00000059,28,1,33,3,2024-10-15,,Open,CAD,,,False
60,ACCT-00000060,28,1,15,9,2024-10-15,,Open,CAD,3000,,False
61,ACCT-00000061,29,4,145,12,2025-06-04,,Open,CAD,,15000,False
62,ACCT-00000062,29,2,66,14,2025-06-04,,Open,CAD,,,False
63,ACCT-00000063,29,5,187,1,2025-06-04,,Open,CAD,,,False
64,ACCT-00000064,29,3,109,9,2025-06-04,,Open,CAD,3000,,False
65,ACCT-00000065,30,6,213,4,2025-10-13,,Dormant,USD,,,False
66,ACCT-00000066,31,1,15,7,2024-09-02,2024-11-19,Closed,CAD,15000,,False
67,ACCT-00000067,31,4,156,1,2022-08-04,,Open,CAD,,,False
68,ACCT-00000068,31,5,201,3,2024-02-03,,Open,CAD,,,False
69,ACCT-00000069,32,2,73,2,2022-03-11,,Open,CAD,,,False
70,ACCT-00000070,32,4,150,15,2025-05-27,,Open,CAD,,,False
71,ACCT-00000071,32,4,164,3,2023-11-13,,Open,CAD,,,False
72,ACCT-00000072,33,3,120,1,2024-09-02,,Open,CAD,,,False
73,ACCT-00000073,33,3,92,3,2024-09-02,,Open,CAD,,,False
74,ACCT-00000074,33,4,134,2,2024-09-02,,Open,CAD,,,False
75,ACCT-00000075,33,5,175,9,2024-09-02,,Open,CAD,5000,,False
76,ACCT-00000076,34,2,77,2,2023-03-24,,Open,CAD,,,False
77,ACCT-00000077,34,5,179,1,2021-09-03,,Open,CAD,,,False
78,ACCT-00000078,34,5,177,6,2025-07-27,,Open,CAD,,,False
79,ACCT-00000079,34,1,4,5,2024-02-09,,Open,CAD,,,False
80,ACCT-00000080,35,4,151,11,2025-07-27,,Open,CAD,,350000,False
81,ACCT-00000081,35,6,223,3,2023-12-20,,Open,CAD,,,False
82,ACCT-00000082,35,3,126,14,2025-01-02,,Open,CAD,,,False
83,ACCT-00000083,36,1,16,14,2021-09-09,,Open,CAD,,,False
84,ACCT-00000084,36,4,160,1,2020-11-01,,Open,CAD,,,False
85,ACCT-00000085,37,1,41,2,2021-05-19,,Open,CAD,,,False
86,ACCT-00000086,37,2,47,15,2021-05-19,,Open,CAD,,,True
87,ACCT-00000087,38,3,115,1,2023-02-03,,Open,CAD,,,False
88,ACCT-00000088,38,4,132,15,2023-02-03,,Open,CAD,,,False
89,ACCT-00000089,39,1,17,7,2023-10-11,,Open,CAD,10000,,False
90,ACCT-00000090,39,2,76,5,2024-10-20,,Open,CAD,,,True
91,ACCT-00000091,40,1,29,5,2023-09-08,,Open,CAD,,,False
92,ACCT-00000092,40,1,11,3,2020-09-14,,Open,CAD,,,False
93,ACCT-00000093,40,5,182,8,2024-04-28,,Open,CAD,15000,,False
94,ACCT-00000094,41,3,102,1,2025-04-22,,Open,CAD,,,False
95,ACCT-00000095,41,4,160,2,2023-10-02,,Open,CAD,,,False
96,ACCT-00000096,42,4,146,1,2024-02-09,,Open,CAD,,,False
97,ACCT-00000097,43,1,44,14,2025-05-15,,Open,CAD,,,False
98,ACCT-00000098,43,3,110,1,2025-05-15,,Open,CAD,,,False
99,ACCT-00000099,44,3,118,2,2022-11-24,,Open,CAD,,,False
100,ACCT-00000100,45,6,216,1,2025-07-07,,Open,CAD,,,False
101,ACCT-00000101,46,2,67,6,2021-04-14,,Open,CAD,,,True
102,ACCT-00000102,46,1,33,7,2024-11-15,,Open,CAD,7500,,False
103,ACCT-00000103,47,2,68,3,2023-07-10,,Open,CAD,,,False
104,ACCT-00000104,48,5,206,8,2022-05-06,,Open,CAD,3000,,False
105,ACCT-00000105,48,6,217,7,2021-07-10,,Open,CAD,3000,,False
106,ACCT-00000106,48,2,52,1,2024-01-22,,Open,CAD,,,True
107,ACCT-00000107,49,4,144,1,2024-03-21,,Dormant,CAD,,,False
108,ACCT-00000108,49,4,143,3,2024-08-20,,Open,CAD,,,False
109,ACCT-00000109,49,4,160,14,2022-10-07,,Open,CAD,,,False
110,ACCT-00000110,50,6,212,2,2025-11-13,,Open,CAD,,,True
111,ACCT-00000111,51,5,192,3,2025-11-09,,Open,CAD,,,False
112,ACCT-00000112,51,4,160,14,2025-08-06,,Open,CAD,,,False
113,ACCT-00000113,52,1,33,1,2024-07-22,,Open,CAD,,,False
114,ACCT-00000114,53,1,44,3,2025-02-18,,Open,CAD,,,False
115,ACCT-00000115,53,5,200,8,2025-02-18,,Open,CAD,7500,,False
116,ACCT-00000116,54,5,201,11,2024-07-24,,Dormant,CAD,,35000,False
117,ACCT-00000117,54,1,24,1,2024-07-24,,Open,CAD,,,True
118,ACCT-00000118,54,2,68,9,2024-07-24,,Open,CAD,15000,,False
119,ACCT-00000119,55,1,7,3,2023-11-14,,Open,CAD,,,False
120,ACCT-00000120,56,5,195,3,2022-12-07,,Open,CAD,,,False
121,ACCT-00000121,56,1,7,7,2021-12-11,,Open,CAD,1000,,False
122,ACCT-00000122,56,1,45,1,2024-11-23,,Open,CAD,,,False
123,ACCT-00000123,57,1,15,15,2022-08-08,2025-01-15,Closed,CAD,,,False
124,ACCT-00000124,57,6,222,3,2023-11-07,,Open,CAD,,,False
125,ACCT-00000125,57,1,1,1,2025-02-22,,Open,CAD,,,False
126,ACCT-00000126,58,2,84,11,2024-11-12,2025-01-26,Closed,CAD,,550000,False
127,ACCT-00000127,58,4,152,12,2023-01-09,,Open,CAD,,350000,False
128,ACCT-00000128,58,2,55,1,2023-02-01,,Open,CAD,,,False
129,ACCT-00000129,59,4,158,3,2022-08-27,,Open,CAD,,,False
130,ACCT-00000130,59,1,2,7,2024-07-22,,Open,CAD,5000,,False
131,ACCT-00000131,59,3,116,1,2025-02-08,,Open,CAD,,,True
132,ACCT-00000132,60,1,13,3,2025-08-14,,Open,CAD,,,False
133,ACCT-00000133,61,3,124,1,2020-08-14,,Open,CAD,,,False
134,ACCT-00000134,62,4,134,3,2025-11-27,,Open,CAD,,,True
135,ACCT-00000135,62,5,206,15,2025-09-11,,Dormant,CAD,,,False
136,ACCT-00000136,63,5,183,1,2024-10-28,,Open,CAD,,,False
137,ACCT-00000137,63,3,125,4,2025-04-29,,Open,USD,,,False
138,ACCT-00000138,64,2,64,3,2023-04-26,,Open,CAD,,,False
139,ACCT-00000139,64,4,143,7,2022-07-09,,Open,CAD,5000,,False
140,ACCT-00000140,64,1,8,4,2022-03-22,,Open,USD,,,False
141,ACCT-00000141,65,3,116,3,2025-08-11,,Open,CAD,,,True
142,ACCT-00000142,65,4,156,1,2025-10-13,,Open,CAD,,,False
143,ACCT-00000143,66,1,14,15,2025-06-10,,Open,CAD,,,False
144,ACCT-00000144,66,2,62,1,2021-02-01,,Open,CAD,,,False
145,ACCT-00000145,66,4,138,10,2020-12-22,,Open,CAD,,350000,False
146,ACCT-00000146,67,3,122,3,2023-05-02,,Open,CAD,,,False
147,ACCT-00000147,68,6,215,1,2025-03-23,,Dormant,CAD,,,False
148,ACCT-00000148,68,2,55,5,2024-08-11,,Dormant,CAD,,,False
149,ACCT-00000149,69,5,199,1,2022-12-15,,Open,CAD,,,False
150,ACCT-00000150,70,3,109,3,2023-11-20,,Open,CAD,,,True
151,ACCT-00000151,70,5,171,1,2023-08-17,,Open,CAD,,,False
152,ACCT-00000152,71,3,99,7,2024-05-14,2025-09-02,Closed,CAD,5000,,False
153,ACCT-00000153,71,5,178,3,2025-06-07,,Open,CAD,,,False
154,ACCT-00000154,72,4,161,1,2023-06-25,,Open,CAD,,,False
155,ACCT-00000155,72,3,112,7,2025-06-27,,Open,CAD,10000,,False
156,ACCT-00000156,73,2,48,2,2025-07-26,,Open,CAD,,,False
157,ACCT-00000157,73,2,72,12,2023-08-27,,Open,CAD,,35000,False
158,ACCT-00000158,74,2,70,3,2024-02-27,,Dormant,CAD,,,False
159,ACCT-00000159,74,5,183,5,2024-06-29,,Open,CAD,,,False
160,ACCT-00000160,74,1,12,12,2023-10-04,,Open,CAD,,150000,False
161,ACCT-00000161,75,3,105,1,2024-09-18,,Dormant,CAD,,,False
162,ACCT-00000162,76,3,128,3,2021-06-25,,Open,CAD,,,False
163,ACCT-00000163,76,4,163,7,2022-04-16,,Open,CAD,10000,,False
164,ACCT-00000164,77,2,69,1,2024-03-23,,Open,CAD,,,False
165,ACCT-00000165,78,2,62,1,2025-03-15,,Open,CAD,,,True
166,ACCT-00000166,78,1,44,6,2025-03-15,,Open,CAD,,,False
167,ACCT-00000167,78,2,86,14,2025-08-22,,Open,CAD,,,True
168,ACCT-00000168,79,2,75,3,2022-04-28,,Open,CAD,,,False
169,ACCT-00000169,80,4,135,3,2022-12-10,,Open,CAD,,,False
170,ACCT-00000170,80,1,17,10,2022-10-07,,Open,CAD,,25000,False
171,ACCT-00000171,81,2,62,3,2025-10-10,,Open,CAD,,,False
172,ACCT-00000172,81,2,68,6,2025-10-10,,Open,CAD,,,False
173,ACCT-00000173,81,2,63,1,2025-10-10,,Open,CAD,,,False
174,ACCT-00000174,81,6,216,11,2025-10-10,,Dormant,CAD,,65000,False
175,ACCT-00000175,82,3,111,7,2025-09-18,,Open,CAD,5000,,False
176,ACCT-00000176,82,4,146,3,2025-09-18,,Open,CAD,,,False
177,ACCT-00000177,83,3,113,3,2023-05-28,,Open,CAD,,,False
178,ACCT-00000178,84,1,8,6,2023-12-27,,Open,CAD,,,False
179,ACCT-00000179,85,3,127,3,2025-01-01,,Open,CAD,,,False
180,ACCT-00000180,86,5,179,5,2025-01-19,,Open,CAD,,,False
181,ACCT-00000181,86,3,115,2,2025-01-19,,Open,CAD,,,False
182,ACCT-00000182,87,4,159,3,2023-04-18,,Open,CAD,,,False
183,ACCT-00000183,88,2,56,3,2023-11-28,,Open,CAD,,,False
184,ACCT-00000184,88,3,129,7,2025-07-03,,Frozen,CAD,3000,,False
185,ACCT-00000185,88,2,68,9,2025-06-13,,Open,CAD,2000,,False
186,ACCT-00000186,89,4,138,7,2022-05-29,,Open,CAD,10000,,False
187,ACCT-00000187,89,5,205,2,2023-11-04,,Frozen,CAD,,,False
188,ACCT-00000188,90,2,47,10,2023-01-10,,Open,CAD,,35000,False
189,ACCT-00000189,90,2,48,3,2023-01-10,,Dormant,CAD,,,False
190,ACCT-00000190,91,4,168,12,2025-10-29,,Open,CAD,,350000,False
191,ACCT-00000191,91,1,10,1,2023-09-06,,Open,CAD,,,False
192,ACCT-00000192,92,2,75,1,2023-06-09,,Open,CAD,,,False
193,ACCT-00000193,92,3,121,5,2025-11-30,,Open,CAD,,,False
194,ACCT-00000194,93,2,64,3,2024-05-06,,Open,CAD,,,False
195,ACCT-00000195,94,3,93,3,2024-06-07,,Open,CAD,,,True
196,ACCT-00000196,95,4,156,1,2023-11-21,,Open,CAD,,,False
197,ACCT-00000197,96,2,85,1,2022-03-28,,Open,CAD,,,False
198,ACCT-00000198,97,2,52,7,2024-10-28,,Open,CAD,7500,,False
199,ACCT-00000199,97,4,147,2,2025-06-13,,Open,CAD,,,False
200,ACCT-00000200,98,2,54,3,2025-09-14,,Open,CAD,,,False
201,ACCT-00000201,99,2,76,15,2025-08-19,,Open,CAD,,,False
202,ACCT-00000202,99,2,47,6,2020-08-16,,Open,CAD,,,False
203,ACCT-00000203,99,2,66,5,2020-12-27,,Open,CAD,,,True
204,ACCT-00000204,100,5,173,2,2022-01-10,,Open,CAD,,,False
205,ACCT-00000205,100,5,196,3,2024-12-08,,Open,CAD,,,False
206,ACCT-00000206,101,5,172,2,2023-02-03,,Open,CAD,,,False
207,ACCT-00000207,102,4,153,3,2025-04-25,,Open,CAD,,,False
208,ACCT-00000208,102,1,22,5,2023-05-09,,Open,CAD,,,True
209,ACCT-00000209,103,1,35,3,2021-02-24,,Open,CAD,,,False
210,ACCT-00000210,103,2,55,7,2021-05-01,,Open,CAD,15000,,False
211,ACCT-00000211,104,1,1,3,2023-11-15,,Open,CAD,,,False
212,ACCT-00000212,104,5,175,7,2023-11-15,2025-02-16,Closed,CAD,5000,,False
213,ACCT-00000213,105,6,214,15,2025-10-18,,Open,CAD,,,False
214,ACCT-00000214,105,2,65,5,2025-06-14,,Open,CAD,,,False
215,ACCT-00000215,106,3,107,3,2021-09-07,,Open,CAD,,,False
216,ACCT-00000216,106,2,67,7,2021-09-07,,Open,CAD,3000,,False
217,ACCT-00000217,107,2,81,1,2021-01-15,,Open,CAD,,,True
218,ACCT-00000218,107,4,157,12,2021-10-23,,Open,CAD,,35000,False
219,ACCT-00000219,108,2,51,2,2023-06-28,,Open,CAD,,,False
220,ACCT-00000220,108,1,30,7,2024-11-03,,Open,CAD,7500,,False
221,ACCT-00000221,109,1,35,1,2023-07-22,,Open,CAD,,,False
222,ACCT-00000222,109,3,124,14,2024-03-02,,Open,CAD,,,False
223,ACCT-00000223,109,1,26,7,2023-03-19,,Open,CAD,3000,,False
224,ACCT-00000224,110,1,35,1,2022-01-19,,Open,CAD,,,False
225,ACCT-00000225,111,3,112,1,2022-04-18,,Open,CAD,,,False
226,ACCT-00000226,111,3,93,13,2024-07-18,,Open,CAD,,25000,False
227,ACCT-00000227,112,4,159,3,2025-04-07,,Open,CAD,,,False
228,ACCT-00000228,113,4,163,2,2023-12-17,,Open,CAD,,,False
229,ACCT-00000229,114,2,55,3,2022-10-03,,Open,CAD,,,False
230,ACCT-00000230,115,5,195,9,2022-09-24,,Open,CAD,5000,,False
231,ACCT-00000231,115,2,60,14,2021-12-22,,Open,CAD,,,False
232,ACCT-00000232,115,5,204,2,2022-05-07,,Open,CAD,,,False
233,ACCT-00000233,115,2,61,3,2021-12-22,,Open,CAD,,,False
234,ACCT-00000234,116,4,143,14,2021-09-25,,Open,CAD,,,False
235,ACCT-00000235,116,4,165,2,2022-09-29,,Open,CAD,,,False
236,ACCT-00000236,116,4,163,1,2025-11-11,,Open,CAD,,,False
237,ACCT-00000237,117,2,54,7,2025-11-07,,Dormant,CAD,2000,,False
238,ACCT-00000238,117,5,185,2,2024-06-05,,Open,CAD,,,False
239,ACCT-00000239,117,6,213,1,2025-02-14,,Open,CAD,,,False
240,ACCT-00000240,118,4,167,12,2023-11-17,,Open,CAD,,350000,False
241,ACCT-00000241,118,4,136,7,2024-05-10,,Open,CAD,3000,,False
242,ACCT-00000242,118,5,187,1,2023-11-17,,Open,CAD,,,False
243,ACCT-00000243,118,1,7,4,2024-01-14,,Open,USD,,,False
244,ACCT-00000244,119,6,215,2,2022-11-24,,Open,CAD,,,False
245,ACCT-00000245,120,1,19,1,2024-06-14,,Open,CAD,,,False
246,ACCT-00000246,121,4,164,3,2024-08-28,,Open,CAD,,,False
247,ACCT-00000247,122,4,154,1,2025-11-12,,Open,CAD,,,False
248,ACCT-00000248,122,3,114,3,2024-11-02,,Open,CAD,,,False
249,ACCT-00000249,123,1,3,2,2021-09-17,,Open,CAD,,,False
250,ACCT-00000250,123,1,41,9,2023-03-17,,Open,CAD,3000,,False
251,ACCT-00000251,124,1,44,15,2024-04-10,,Open,CAD,,,False
252,ACCT-00000252,124,5,203,1,2024-04-10,,Open,CAD,,,False
253,ACCT-00000253,124,3,114,7,2024-04-10,,Open,CAD,10000,,False
254,ACCT-00000254,125,5,176,15,2024-12-31,,Open,CAD,,,False
255,ACCT-00000255,125,5,204,5,2024-12-31,2025-07-12,Closed,CAD,,,False
256,ACCT-00000256,125,4,158,2,2024-12-31,,Open,CAD,,,False
257,ACCT-00000257,126,3,111,1,2025-08-05,,Open,CAD,,,False
258,ACCT-00000258,126,2,76,3,2025-08-17,,Open,CAD,,,True
259,ACCT-00000259,127,2,61,3,2021-02-02,,Open,CAD,,,False
260,ACCT-00000260,127,3,129,10,2021-01-18,,Open,CAD,,550000,False
261,ACCT-00000261,127,3,105,1,2021-04-21,,Open,CAD,,,False
262,ACCT-00000262,127,2,50,5,2022-01-25,,Open,CAD,,,True
263,ACCT-00000263,128,2,66,1,2025-10-04,,Open,CAD,,,False
264,ACCT-00000264,128,1,24,3,2025-10-04,,Open,CAD,,,True
265,ACCT-00000265,128,1,4,14,2025-10-04,,Open,CAD,,,False
266,ACCT-00000266,129,2,46,2,2023-01-23,,Open,CAD,,,False
267,ACCT-00000267,129,4,145,15,2024-04-20,,Open,CAD,,,False
268,ACCT-00000268,129,1,16,3,2024-11-27,,Open,CAD,,,True
269,ACCT-00000269,129,6,221,1,2022-09-07,,Open,CAD,,,False
270,ACCT-00000270,130,6,214,2,2024-09-07,,Open,CAD,,,False
271,ACCT-00000271,130,3,107,3,2024-09-07,,Frozen,CAD,,,False
272,ACCT-00000272,130,3,97,10,2024-09-07,,Open,CAD,,350000,False
273,ACCT-00000273,131,4,132,3,2024-01-05,,Open,CAD,,,False
274,ACCT-00000274,132,2,65,2,2023-03-12,,Open,CAD,,,False
275,ACCT-00000275,132,3,106,10,2023-03-12,,Open,CAD,,350000,False
276,ACCT-00000276,133,4,154,2,2021-10-14,,Open,CAD,,,False
277,ACCT-00000277,133,4,148,11,2025-11-27,,Open,CAD,,65000,False
278,ACCT-00000278,133,4,155,8,2022-08-13,,Open,CAD,3000,,True
279,ACCT-00000279,134,4,155,8,2022-01-15,,Open,CAD,5000,,False
280,ACCT-00000280,134,5,187,3,2022-01-15,,Open,CAD,,,True
281,ACCT-00000281,134,3,121,2,2022-01-15,,Open,CAD,,,False
282,ACCT-00000282,135,1,10,5,2025-03-04,,Open,CAD,,,False
283,ACCT-00000283,135,5,201,10,2025-03-04,,Open,CAD,,65000,False
284,ACCT-00000284,136,4,141,1,2025-11-13,,Open,CAD,,,False
285,ACCT-00000285,137,1,1,3,2025-03-13,,Open,CAD,,,False
286,ACCT-00000286,137,1,38,14,2025-04-06,,Dormant,CAD,,,False
287,ACCT-00000287,138,1,4,1,2022-05-25,,Open,CAD,,,False
288,ACCT-00000288,138,4,136,9,2023-07-23,,Open,CAD,1000,,False
289,ACCT-00000289,139,1,5,2,2024-02-05,,Open,CAD,,,False
290,ACCT-00000290,139,5,196,7,2024-02-05,,Open,CAD,1000,,False
291,ACCT-00000291,140,5,198,3,2023-07-31,,Open,CAD,,,False
292,ACCT-00000292,140,2,83,2,2021-08-07,,Open,CAD,,,False
293,ACCT-00000293,141,1,26,15,2020-12-28,,Open,CAD,,,False
294,ACCT-00000294,141,4,146,12,2024-08-15,,Open,CAD,,35000,False
295,ACCT-00000295,141,2,77,6,2021-04-09,,Open,CAD,,,False
296,ACCT-00000296,142,2,76,3,2024-08-21,,Open,CAD,,,False
297,ACCT-00000297,142,6,218,1,2024-02-17,,Open,CAD,,,False
298,ACCT-00000298,142,6,209,6,2024-03-08,,Open,CAD,,,False
299,ACCT-00000299,143,3,125,13,2023-02-01,,Open,CAD,,35000,False
300,ACCT-00000300,143,5,182,6,2024-09-24,,Open,CAD,,,False
301,ACCT-00000301,143,4,135,2,2022-08-11,2023-02-27,Closed,CAD,,,False
302,ACCT-00000302,144,1,10,3,2021-07-30,,Open,CAD,,,False
303,ACCT-00000303,144,3,129,1,2021-09-10,,Open,CAD,,,False
304,ACCT-00000304,144,3,107,7,2020-11-11,,Open,CAD,2000,,False
305,ACCT-00000305,145,5,192,8,2024-09-24,2025-12-27,Closed,CAD,3000,,False
306,ACCT-00000306,145,4,151,3,2020-02-01,,Open,CAD,,,False
307,ACCT-00000307,146,3,124,7,2022-09-28,,Open,CAD,5000,,False
308,ACCT-00000308,146,3,93,6,2022-09-28,,Open,CAD,,,False
309,ACCT-00000309,147,4,166,6,2025-07-27,,Open,CAD,,,False
310,ACCT-00000310,147,1,11,15,2025-07-27,,Open,CAD,,,False
311,ACCT-00000311,148,1,19,3,2023-04-25,,Open,CAD,,,True
312,ACCT-00000312,149,4,168,3,2022-06-27,,Open,CAD,,,False
313,ACCT-00000313,150,2,48,2,2024-04-20,,Open,CAD,,,False
314,ACCT-00000314,151,4,135,1,2024-11-16,,Open,CAD,,,False
315,ACCT-00000315,151,5,198,12,2022-07-08,,Open,CAD,,15000,False
316,ACCT-00000316,152,1,16,3,2025-03-24,,Open,CAD,,,False
317,ACCT-00000317,152,2,48,1,2025-03-24,,Open,CAD,,,False
318,ACCT-00000318,153,5,172,1,2023-09-27,,Open,CAD,,,False
319,ACCT-00000319,154,5,197,3,2024-11-11,,Open,CAD,,,False
320,ACCT-00000320,155,3,129,3,2023-07-11,,Open,CAD,,,False
321,ACCT-00000321,155,5,185,7,2023-08-19,,Open,CAD,2000,,False
322,ACCT-00000322,155,4,155,6,2023-07-11,,Open,CAD,,,False
323,ACCT-00000323,156,5,207,3,2024-11-20,,Open,CAD,,,False
324,ACCT-00000324,156,3,120,4,2022-07-14,,Open,USD,,,False
325,ACCT-00000325,156,1,42,13,2022-09-25,,Open,CAD,,65000,False
326,ACCT-00000326,157,3,106,2,2025-05-11,,Open,CAD,,,False
327,ACCT-00000327,157,6,222,8,2025-03-13,,Open,CAD,5000,,False
328,ACCT-00000328,157,2,67,15,2024-10-19,,Open,CAD,,,True
329,ACCT-00000329,158,4,147,3,2021-01-08,,Open,CAD,,,False
330,ACCT-00000330,158,2,49,1,2021-07-05,,Open,CAD,,,False
331,ACCT-00000331,159,6,220,7,2024-07-27,,Open,CAD,3000,,False
332,ACCT-00000332,159,1,35,9,2024-01-16,,Open,CAD,7500,,False
333,ACCT-00000333,159,1,30,6,2024-01-16,,Open,CAD,,,False
334,ACCT-00000334,159,4,169,12,2025-04-05,,Open,CAD,,350000,False
335,ACCT-00000335,160,2,73,2,2024-02-11,,Open,CAD,,,False
336,ACCT-00000336,160,1,18,14,2024-02-11,,Open,CAD,,,False
337,ACCT-00000337,160,2,88,8,2024-02-11,,Open,CAD,3000,,False
338,ACCT-00000338,161,4,148,1,2023-07-26,,Open,CAD,,,True
339,ACCT-00000339,161,1,10,10,2021-03-21,,Open,CAD,,25000,False
340,ACCT-00000340,162,5,189,2,2021-07-04,,Open,CAD,,,False
341,ACCT-00000341,163,3,111,1,2022-07-11,,Open,CAD,,,False
342,ACCT-00000342,164,5,193,2,2022-07-08,,Open,CAD,,,False
343,ACCT-00000343,165,5,202,1,2021-07-31,,Open,CAD,,,False
344,ACCT-00000344,165,1,28,14,2021-11-08,,Open,CAD,,,False
345,ACCT-00000345,166,2,84,1,2025-03-09,,Open,CAD,,,False
346,ACCT-00000346,166,2,61,10,2025-03-09,,Open,CAD,,550000,False
347,ACCT-00000347,167,1,42,3,2024-11-28,,Open,CAD,,,False
348,ACCT-00000348,167,3,98,15,2024-06-23,,Open,CAD,,,False
349,ACCT-00000349,167,3,125,1,2025-06-15,,Open,CAD,,,False
350,ACCT-00000350,168,1,31,13,2022-10-16,,Frozen,CAD,,65000,False
351,ACCT-00000351,168,1,45,2,2025-06-24,,Open,CAD,,,False
352,ACCT-00000352,168,5,204,5,2024-03-25,,Open,CAD,,,False
353,ACCT-00000353,169,2,81,2,2023-01-24,,Open,CAD,,,False
354,ACCT-00000354,170,5,204,3,2024-11-10,,Open,CAD,,,False
355,ACCT-00000355,171,4,164,6,2023-11-01,,Open,CAD,,,False
356,ACCT-00000356,171,1,44,1,2025-09-30,,Frozen,CAD,,,False
357,ACCT-00000357,171,5,197,13,2023-11-01,,Open,CAD,,350000,False
